AREA_NAME,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,ASSAULT_RATE_2023
Bayview Woods-Steeles,30.26634407,7.638252258,7.697636604,22.84495926,15.02178192,14.85111713,14.81371784,14.84891224,29.5726757,7.330841064,13641,439.8504639
Hillcrest Village,33.77617645,28.50302124,11.51675701,22.82062912,45.11617279,33.56643295,44.74022675,22.49718857,27.97515869,44.2575798,18076,376.1894226
Alderwood,56.47894287,24.24830246,80.71676636,55.64387894,54.52987289,53.65629196,38.05175018,30.40668869,60.13228989,59.24609375,13503,325.8535156
Long Branch,19.4779892,38.79352188,NA,28.26721954,27.58366966,9.007386208,35.57769394,26.49006653,43.50095749,17.23989296,11601,827.5148926
New Toronto,17.41856766,43.3012886,42.90004349,8.491847992,8.375209808,16.58649826,41.39758301,41.49377441,57.84167862,40.96681595,12205,1376.485107
Stonegate-Queensway,31.25,31.31360626,15.62438965,23.2063427,30.52736092,15.12458897,18.87789726,26.53324318,33.95713806,41.1553421,26728,512.571106
Kingsway South,31.93867683,31.99658775,21.3196888,62.91286469,41.1649704,40.514534,30.11745834,30.05409813,39.6471405,58.49663544,10257,633.713562
Etobicoke West Mall,NA,25.71355057,NA,33.33333206,24.59016418,48.52798462,56.31083679,24.104129790000002,39.85969543,39.32981873,12713,519.1536255
Markland Wood,28.00336075,18.70032692,18.68460464,9.300595284,18.45699501,27.59128189,64.53992462,NA,27.93036079,9.310119629,10741,418.9554138
Eringate-Centennial-West Deane,31.22885513,20.94131279,21.02938843,10.43296814,20.62812614,20.48445702,15.37042713,10.31034088,15.42733765,15.33899212,19558,460.1697388
Princess-Rosethorn,34.94060135,35.18029785,26.48538971,26.0258522,50.89490128,33.33055496,33.06058502,16.44736862,16.24959373,39.83428955,12552,199.1714478
Edenbridge-Humber Valley,19.37984467,25.75328445,12.80327797,25.14774323,30.80145454,60.55834961,5.997361183,11.94243717,53.12241745,28.95026398,17271,306.8728027
Humber Heights-Westmount,9.721952438,19.42502022,38.72966766,57.055915830000004,27.89400291,45.60795593,9.023641586,44.8470726,8.867606163,17.54693794,11398,464.993866
Willowridge-Martingrove-Richview,17.68659401,13.22343159,17.53309441,17.32651901,17.09401703,12.68123627,16.85772133,12.68338013,20.99869728,12.44968224,24097,510.4369812
Kingsview Village-The Westway,22.07992935,17.69441795,22.095541,26.35161781,13.08329678,8.685456276,30.4864769,35.14938354,26.35624886,35.1509285,22759,663.4738159
Elms-Old Rexdale,10.18537426,10.24800205,NA,20.41858101,10.12658215,40.30226517,20.16332245,30.48470688,NA,40.46944427,9884,617.1590576
Rexdale-Kipling,18.6811142,9.360666275,NA,9.331840515,27.73925018,27.63703346,9.2370224,18.62717628,83.93955994,37.30647278,10722,708.822998
Thistletown-Beaumond Heights,9.612611771,28.83783531,9.588646889,38.14246368,18.90180588,37.59751892,47.10315704,18.9771328,18.98794174,132.9534607,10530,626.7806396
Mount Olive-Silverstone-Jamestown,14.7115078,14.7449131,11.80916405,2.921755314,8.656509399,22.86890411,22.80826759,8.592541695,51.32152939,31.08574104,35386,839.3150024
West Humber-Clairville,119.057991,172.5650787,120.6627655,168.3306274,145.5313263,183.0109558,156.7924805,154.1004791,169.5244904,219.8526917,36388,884.9071045
Black Creek,40.06766891,17.92998314,36.02629852,75.80487061,35.26092911,39.31848145,69.83240509,39.48060989,34.96809006,56.40647507,23047,1002.299622
Pelmo Park-Humberlea,29.69415092,57.13197327,36.67369461,53.94713211,35.17411041,60.48038864,85.54319763,17.02707291,75.63660431,49.50086594,12121,858.0150146
Humbermede,6.156497955,55.8589859,6.241417885,43.26061249,61.06497192,48.43787766,72.5382309,78.95056152,54.43328857,66.39304352,16568,959.6813354
Humber Summit,116.4234695,124.8244629,140.955368,147.2297516,114.7139816,166.5909424,158.8622437,220.0303497,173.7422638,312.8491516,13425,1229.050293
